task_index,category,label,objn,freq_bin,phrase_freq_in_category,source_image,condition_image,orig_source_path,orig_condition_path,pt1,pt2,bbox,orig_resolution,annot_source_size,annot_condition_size
133,add,cake stand,cake-stand,head,4,images/add/0133_add_source.jpg,images/add/0133_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00032/000320112.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00032_000320112_0_cake-stand.png,"[2672, 1395]","[3199, 1490]","[2360, 1028, 3512, 1830]","{""height"": 2738, ""width"": 4124}",1024x679,1024x679
134,add,whipped cream,whipped-cream,head,12,images/add/0134_add_source.jpg,images/add/0134_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00012/000121635.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00012_000121635_0_whipped-cream.png,"[523, 876]","[1242, 971]","[397, 465, 1370, 1356]","{""height"": 1575, ""width"": 1800}",1024x896,1024x896
135,add,dish,dish,head,5,images/add/0135_add_source.jpg,images/add/0135_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00035/000355998.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00035_000355998_0_dish.png,"[1403, 957]","[1597, 1052]","[0, 20, 3000, 1963]","{""height"": 2000, ""width"": 3000}",1024x682,1024x682
136,add,liquid,liquid,head,3,images/add/0136_add_source.jpg,images/add/0136_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00009/000095201.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00009_000095201_0_liquid.png,"[1666, 875]","[1914, 970]","[1079, 450, 2502, 1369]","{""height"": 3705, ""width"": 5558}",1023x682,1023x682
137,add,backrest,backrest,head,4,images/add/0137_add_source.jpg,images/add/0137_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00003/000037488.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00003_000037488_0_backrest.png,"[381, 448]","[785, 543]","[385, 321, 782, 643]","{""height"": 1306, ""width"": 1960}",1024x682,1024x682
138,add,chalkboard sign,chalkboard-sign,head,5,images/add/0138_add_source.jpg,images/add/0138_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00028/000283584.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00028_000283584_0_chalkboard-sign.png,"[1710, 995]","[2138, 1063]","[1800, 812, 2048, 1218]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
139,add,engine,engine,head,6,images/add/0139_add_source.jpg,images/add/0139_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00029/000294381.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00029_000294381_0_engine.png,"[922, 1051]","[1230, 1146]","[232, 893, 1920, 1277]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
140,add,candies,candies,head,4,images/add/0140_add_source.jpg,images/add/0140_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00030/000301537.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00030_000301537_0_candies.png,"[2201, 1163]","[2560, 1258]","[2204, 1024, 2559, 1370]","{""height"": 2089, ""width"": 3349}",1024x638,1024x638
141,add,human like statues,human-like-statues,mid,1,images/add/0141_add_source.jpg,images/add/0141_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00010/000109719.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00010_000109719_0_human-like-statues.png,"[460, 898]","[1091, 972]","[595, 681, 958, 1161]","{""height"": 1415, ""width"": 1981}",1024x731,1024x731
142,add,helicopter,helicopter,mid,1,images/add/0142_add_source.jpg,images/add/0142_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00036/000362615.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00036_000362615_0_helicopter.png,"[2339, 1321]","[2800, 1416]","[1883, 1122, 3258, 1588]","{""height"": 2560, ""width"": 3840}",1024x682,1024x682
143,add,lace embroidery,lace-embroidery,mid,1,images/add/0143_add_source.jpg,images/add/0143_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00010/000101358.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00010_000101358_0_lace-embroidery.png,"[1219, 1159]","[1980, 1254]","[243, 110, 2958, 2276]","{""height"": 2283, ""width"": 3112}",1023x751,1023x751
144,add,front seats,front-seats,mid,1,images/add/0144_add_source.jpg,images/add/0144_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00012/000121001.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00012_000121001_0_front-seats.png,"[736, 384]","[1263, 479]","[627, 98, 1373, 738]","{""height"": 1283, ""width"": 1920}",1024x684,1024x684
145,add,dancers,dancers,mid,2,images/add/0145_add_source.jpg,images/add/0145_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00021/000218962.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00021_000218962_0_dancers.png,"[488, 1083]","[862, 1178]","[424, 882, 927, 1353]","{""height"": 1776, ""width"": 2560}",1024x710,1024x710
146,add,headscarves,headscarves,mid,1,images/add/0146_add_source.jpg,images/add/0146_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00034/000342113.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00034_000342113_0_headscarves.png,"[772, 555]","[1356, 650]","[848, 449, 1281, 729]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
147,add,textures,textures,mid,2,images/add/0147_add_source.jpg,images/add/0147_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00018/000182408.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00018_000182408_0_textures.png,"[382, 126]","[715, 213]","[456, 43, 643, 270]","{""height"": 1360, ""width"": 2048}",1024x680,1024x680
148,add,lines,lines,mid,1,images/add/0148_add_source.jpg,images/add/0148_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00026/000261283.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00026_000261283_0_lines.png,"[2719, 1632]","[2934, 1727]","[2144, 1135, 3510, 2198]","{""height"": 2199, ""width"": 3511}",1024x641,1024x641
149,add,flower crown,flower-crown,mid,1,images/add/0149_add_source.jpg,images/add/0149_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00001/000019625.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00001_000019625_0_flower-crown.png,"[911, 276]","[1513, 371]","[890, 95, 1535, 525]","{""height"": 1365, ""width"": 2048}",1024x682,1024x682
150,add,exercise machines,exercise-machines,mid,1,images/add/0150_add_source.jpg,images/add/0150_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00026/000261832.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00026_000261832_0_exercise-machines.png,"[2165, 1314]","[3043, 1409]","[2216, 1028, 2993, 1668]","{""height"": 2000, ""width"": 3000}",1024x682,1024x682
151,add,playground structure,playground-structure,mid,1,images/add/0151_add_source.jpg,images/add/0151_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00007/000072620.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00007_000072620_0_playground-structure.png,"[549, 830]","[1535, 925]","[86, 16, 1998, 1713]","{""height"": 1725, ""width"": 2067}",1024x854,1024x854
152,add,water feature,water-feature,mid,2,images/add/0152_add_source.jpg,images/add/0152_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00030/000307788.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00030_000307788_0_water-feature.png,"[1446, 2792]","[2084, 2887]","[0, 2619, 3531, 3034]","{""height"": 3187, ""width"": 4500}",1024x725,1024x725
153,add,pink blossoms,pink-blossoms,mid,1,images/add/0153_add_source.jpg,images/add/0153_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00037/000379238.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00037_000379238_0_pink-blossoms.png,"[2723, 895]","[3403, 990]","[1855, 0, 4272, 1859]","{""height"": 2848, ""width"": 4272}",1024x682,1024x682
154,add,lamp posts,lamp-posts,mid,1,images/add/0154_add_source.jpg,images/add/0154_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00013/000137316.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00013_000137316_0_lamp-posts.png,"[88, 699]","[463, 775]","[170, 200, 383, 1246]","{""height"": 1281, ""width"": 1920}",1024x683,1024x683
155,add,paved surface,paved-surface,mid,1,images/add/0155_add_source.jpg,images/add/0155_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00030/000305537.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00030_000305537_0_paved-surface.png,"[621, 964]","[1295, 1059]","[0, 719, 1917, 1278]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
156,add,shipping container,shipping-container,mid,2,images/add/0156_add_source.jpg,images/add/0156_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00009/000093817.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00009_000093817_0_shipping-container.png,"[562, 687]","[1434, 782]","[144, 3, 1852, 1440]","{""height"": 1441, ""width"": 1920}",1024x768,1024x768
157,add,excavation area,excavation-area,mid,1,images/add/0157_add_source.jpg,images/add/0157_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00020/000204077.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00020_000204077_0_excavation-area.png,"[154, 932]","[909, 1027]","[298, 653, 767, 1279]","{""height"": 1280, ""width"": 2560}",1024x512,1024x512
158,add,pair of navy blue loafers,pair-of-navy-blue-loafers,mid,1,images/add/0158_add_source.jpg,images/add/0158_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00016/000164893.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00016_000164893_0_pair-of-navy-blue-loafers.png,"[524, 705]","[1711, 800]","[431, 336, 1806, 1143]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
159,add,mat,mat,mid,1,images/add/0159_add_source.jpg,images/add/0159_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00012/000120976.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00012_000120976_0_mat.png,"[1353, 1481]","[1541, 1576]","[658, 1204, 2236, 1826]","{""height"": 1936, ""width"": 2592}",1024x764,1024x764
160,add,black convertible top,black-convertible-top,mid,1,images/add/0160_add_source.jpg,images/add/0160_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00031/000310337.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00031_000310337_0_black-convertible-top.png,"[443, 685]","[1441, 780]","[105, 426, 1780, 1012]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
161,add,Mahindra off road vehicle,Mahindra-off-road-vehicle,mid,1,images/add/0161_add_source.jpg,images/add/0161_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00014/000142860.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00014_000142860_0_Mahindra-off-road-vehicle.png,"[316, 673]","[1569, 768]","[298, 114, 1588, 1300]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
162,add,layered cake,layered-cake,mid,1,images/add/0162_add_source.jpg,images/add/0162_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00025/000252306.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00025_000252306_0_layered-cake.png,"[705, 747]","[1307, 842]","[601, 533, 1412, 1029]","{""height"": 1365, ""width"": 2048}",1024x682,1024x682
163,add,bean stew,bean-stew,mid,1,images/add/0163_add_source.jpg,images/add/0163_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00036/000367228.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00036_000367228_0_bean-stew.png,"[1120, 1383]","[1605, 1478]","[245, 732, 2482, 2103]","{""height"": 2736, ""width"": 3648}",1024x768,1024x768
164,add,cucumbers,cucumbers,mid,1,images/add/0164_add_source.jpg,images/add/0164_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00017/000179550.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00017_000179550_0_cucumbers.png,"[2047, 1143]","[2565, 1238]","[1984, 851, 2628, 1504]","{""height"": 2448, ""width"": 3264}",1024x768,1024x768
165,add,landscape,landscape,mid,2,images/add/0165_add_source.jpg,images/add/0165_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00023/000239732.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00023_000239732_0_landscape.png,"[1012, 947]","[1485, 1042]","[0, 299, 2499, 1663]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
166,add,brand name 'Miller Motorcars,brand-name-'Miller-Motorcars,mid,1,images/add/0166_add_source.jpg,images/add/0166_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00017/000176755.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00002_00017_000176755_0_brand-name-'Miller-Motorcars.png,"[260, 594]","[1657, 689]","[0, 6, 1919, 1251]","{""height"": 1283, ""width"": 1920}",1024x684,1024x684
167,add,chocolate covered strawberries,chocolate-covered-strawberries,mid,1,images/add/0167_add_source.jpg,images/add/0167_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00026/000266593.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00026_000266593_0_chocolate-covered-strawberries.png,"[603, 460]","[1662, 536]","[826, 239, 1440, 730]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
168,add,cinnamon sticks,cinnamon-sticks,mid,1,images/add/0168_add_source.jpg,images/add/0168_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00033/000334449.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00033_000334449_0_cinnamon-sticks.png,"[1609, 1135]","[2382, 1230]","[1433, 742, 2560, 1597]","{""height"": 1600, ""width"": 2560}",1024x640,1024x640
169,add,Audi car,Audi-car,mid,2,images/add/0169_add_source.jpg,images/add/0169_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00015/000154589.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00015_000154589_0_Audi-car.png,"[882, 758]","[1277, 853]","[235, 351, 1925, 1233]","{""height"": 1365, ""width"": 2048}",1024x682,1024x682
170,add,sewing machine,sewing-machine,mid,2,images/add/0170_add_source.jpg,images/add/0170_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00023/000239031.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00023_000239031_0_sewing-machine.png,"[1356, 1017]","[2111, 1112]","[1207, 692, 2261, 1411]","{""height"": 1415, ""width"": 2520}",1024x574,1024x574
171,add,street lamp,street-lamp,tail,1,images/add/0171_add_source.jpg,images/add/0171_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00012/000129601.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00012_000129601_0_street-lamp.png,"[919, 816]","[1470, 911]","[917, 263, 1474, 1438]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
172,add,Royal Enfield Himalayan motorcycle,Royal-Enfield-Himalayan-motorcycle,tail,1,images/add/0172_add_source.jpg,images/add/0172_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00024/000244709.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00024_000244709_0_Royal-Enfield-Himalayan-motorcycle.png,"[150, 670]","[1850, 765]","[220, 4, 1780, 1405]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
173,add,stocking,stocking,tail,1,images/add/0173_add_source.jpg,images/add/0173_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00029/000294430.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00029_000294430_0_stocking.png,"[1472, 631]","[1864, 726]","[1132, 64, 2204, 1266]","{""height"": 1303, ""width"": 2316}",1024x576,1024x576
174,add,surface,surface,tail,1,images/add/0174_add_source.jpg,images/add/0174_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00038/000381343.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00038_000381343_0_surface.png,"[847, 1353]","[1200, 1448]","[0, 1138, 2048, 1636]","{""height"": 1638, ""width"": 2048}",1024x819,1024x819
175,add,white beards,white-beards,tail,1,images/add/0175_add_source.jpg,images/add/0175_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00008/000088085.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00008_000088085_0_white-beards.png,"[1437, 443]","[1762, 509]","[1506, 362, 1695, 563]","{""height"": 1365, ""width"": 2048}",1024x682,1024x682
176,add,shelving units,shelving-units,tail,1,images/add/0176_add_source.jpg,images/add/0176_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00021/000218993.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00021_000218993_0_shelving-units.png,"[260, 422]","[910, 517]","[272, 60, 898, 852]","{""height"": 1944, ""width"": 2592}",1024x768,1024x768
177,add,water features,water-features,tail,1,images/add/0177_add_source.jpg,images/add/0177_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00035/000351932.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00035_000351932_0_water-features.png,"[1607, 1692]","[2296, 1787]","[870, 1449, 3034, 2003]","{""height"": 2737, ""width"": 3916}",1024x715,1024x715
178,add,watermelon,watermelon,tail,1,images/add/0178_add_source.jpg,images/add/0178_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00000/000000821.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00000_000000821_0_watermelon.png,"[2770, 1342]","[3309, 1437]","[1734, 170, 4347, 2582]","{""height"": 3744, ""width"": 5286}",1024x725,1024x725
179,add,roof tent,roof-tent,tail,1,images/add/0179_add_source.jpg,images/add/0179_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00036/000363884.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00036_000363884_0_roof-tent.png,"[1035, 391]","[1460, 486]","[750, 106, 1747, 744]","{""height"": 1362, ""width"": 2048}",1024x681,1024x681
180,add,skillet,skillet,tail,1,images/add/0180_add_source.jpg,images/add/0180_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00007/000077779.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00007_000077779_0_skillet.png,"[317, 453]","[586, 548]","[71, 220, 834, 755]","{""height"": 1333, ""width"": 2000}",1024x682,1024x682
181,add,white dessert,white-dessert,tail,1,images/add/0181_add_source.jpg,images/add/0181_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00015/000154257.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00015_000154257_0_white-dessert.png,"[950, 1095]","[1582, 1190]","[623, 813, 1909, 1445]","{""height"": 1876, ""width"": 2500}",1024x768,1024x768
182,add,snowmobile,snowmobile,tail,1,images/add/0182_add_source.jpg,images/add/0182_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00026/000261346.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00026_000261346_0_snowmobile.png,"[2527, 1445]","[3069, 1540]","[1502, 943, 4095, 2015]","{""height"": 2304, ""width"": 4096}",1024x576,1024x576
183,add,spools,spools,tail,1,images/add/0183_add_source.jpg,images/add/0183_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00007/000072204.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00007_000072204_0_spools.png,"[1468, 469]","[1770, 564]","[1319, 278, 1920, 728]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
184,add,short hair,short-hair,tail,1,images/add/0184_add_source.jpg,images/add/0184_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00038/000385190.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00002_00038_000385190_0_short-hair.png,"[810, 486]","[1280, 581]","[527, 143, 1564, 897]","{""height"": 2160, ""width"": 3840}",1024x576,1024x576
185,add,stands,stands,tail,1,images/add/0185_add_source.jpg,images/add/0185_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00005/00039/000397424.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00005_00039_000397424_0_stands.png,"[966, 967]","[1280, 1062]","[949, 821, 1297, 1181]","{""height"": 1406, ""width"": 2500}",1024x575,1024x575
186,add,rose shaped ornament,rose-shaped-ornament,tail,1,images/add/0186_add_source.jpg,images/add/0186_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00007/00022/000225525.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00007_00022_000225525_0_rose-shaped-ornament.png,"[205, 968]","[985, 1044]","[378, 714, 813, 1271]","{""height"": 1368, ""width"": 1824}",1024x768,1024x768
187,add,wooden kitchen utensils,wooden-kitchen-utensils,tail,1,images/add/0187_add_source.jpg,images/add/0187_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00012/000127469.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00012_000127469_0_wooden-kitchen-utensils.png,"[571, 1592]","[1707, 1687]","[208, 1032, 2071, 2221]","{""height"": 2742, ""width"": 4050}",1024x693,1024x693
188,add,Victorian style dress,Victorian-style-dress,tail,1,images/add/0188_add_source.jpg,images/add/0188_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00023/000236943.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00003_00023_000236943_0_Victorian-style-dress.png,"[705, 760]","[1306, 830]","[834, 560, 1178, 1002]","{""height"": 1333, ""width"": 2000}",1024x682,1024x682
189,add,vanity table,vanity-table,tail,1,images/add/0189_add_source.jpg,images/add/0189_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00009/00025/000256211.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00009_00025_000256211_0_vanity-table.png,"[601, 1011]","[1152, 1106]","[330, 658, 1425, 1432]","{""height"": 1600, ""width"": 2000}",1024x819,1024x819
190,add,wooden structures,wooden-structures,tail,1,images/add/0190_add_source.jpg,images/add/0190_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00009/000091167.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00009_000091167_0_wooden-structures.png,"[2629, 1342]","[3504, 1437]","[2267, 903, 3867, 1849]","{""height"": 2592, ""width"": 3872}",1024x685,1024x685
191,add,smoothies,smoothies,tail,1,images/add/0191_add_source.jpg,images/add/0191_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00011/000119374.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00011_000119374_0_smoothies.png,"[167, 557]","[649, 652]","[161, 307, 655, 875]","{""height"": 1399, ""width"": 1920}",1024x746,1024x746
192,add,yarn sheep,yarn-sheep,tail,1,images/add/0192_add_source.jpg,images/add/0192_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00039/000393763.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00039_000393763_0_yarn-sheep.png,"[1026, 2660]","[1553, 2755]","[637, 2064, 1944, 3325]","{""height"": 3456, ""width"": 5184}",1024x682,1024x682
193,add,tulips,tulips,tail,1,images/add/0193_add_source.jpg,images/add/0193_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00030/000302545.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00030_000302545_0_tulips.png,"[1898, 2042]","[2152, 2137]","[18, 1128, 4032, 3024]","{""height"": 3024, ""width"": 4032}",1024x768,1024x768
194,add,shrubs,shrubs,tail,1,images/add/0194_add_source.jpg,images/add/0194_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00006/000065202.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00000_00006_000065202_0_shrubs.png,"[801, 1168]","[1118, 1263]","[1, 1062, 1920, 1342]","{""height"": 1342, ""width"": 1920}",1024x715,1024x715
195,add,whale,whale,tail,1,images/add/0195_add_source.jpg,images/add/0195_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00021/000214576.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00021_000214576_0_whale.png,"[1515, 1130]","[1778, 1225]","[1184, 837, 2111, 1492]","{""height"": 2000, ""width"": 3000}",1024x682,1024x682
196,add,ticket booth,ticket-booth,tail,1,images/add/0196_add_source.jpg,images/add/0196_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00008/00007/000077440.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00008_00007_000077440_0_ticket-booth.png,"[1063, 821]","[1635, 916]","[634, 342, 2064, 1368]","{""height"": 1662, ""width"": 2500}",1024x680,1024x680
197,add,telephone booth,telephone-booth,tail,1,images/add/0197_add_source.jpg,images/add/0197_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00021/000213416.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00001_00021_000213416_0_telephone-booth.png,"[546, 665]","[1313, 760]","[507, 35, 1353, 1363]","{""height"": 1363, ""width"": 2274}",1024x613,1024x613
198,add,teenagers,teenagers,tail,1,images/add/0198_add_source.jpg,images/add/0198_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00006/000063586.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00004_00006_000063586_0_teenagers.png,"[533, 1522]","[997, 1617]","[350, 177, 1180, 2936]","{""height"": 3264, ""width"": 4928}",1024x678,1024x678
199,add,sink,sink,tail,1,images/add/0199_add_source.jpg,images/add/0199_add_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00006/00012/000122250.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_add_laion/00006_00012_000122250_0_sink.png,"[359, 809]","[547, 904]","[282, 785, 624, 901]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
